job_title,company_name,location,work_type,experience_level,date_posted,year,month,month_name,country,job_category,job_skills
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Analytics,"Data analytics, Statistical techniques, Strategic decision making, Marketing, Fundraising, A/B and multivariate testing, Dashboards, Reporting, Key performance indicators (KPIs), Data systems integration, Predictive modeling, Data visualization, Adhoc data analysis, Donor engagement, Volunteer engagement, Community engagement, Data science, Statistics, Economics, Data extraction, Data manipulation, SQL, PowerBI, Communication, Presentation, Teamwork, Project management, Selfmotivation, Initiative"
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Analyst,"Data Analysis, Data Visualization, Statistical Techniques, Machine Learning, Data Mining, SQL, Python, R, Tableau, Power BI, Data Modeling, Data Quality Management, Data Processing, A/B Testing, Statistical Modeling, Hypothesis Testing, Data Management, ETL Processes, Business Intelligence, DataDriven Decision Making"
Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Analyst,"Data Analysis, Statistics, Machine Learning, Algorithms, A/B Testing, Data Visualization, SQL, R, Python, Tableau, Power BI, Data Management, ETL"
Manager Quantitative Analytics [TD Bank],CareerBeacon,"Toronto, Ontario, Canada",Onsite,Mid senior,2024-01-17,2024,1,January,Canada,Analytics,Not Specified
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Analytics,"Health Information Management, Informatics, Industrial Engineering, Business Administration, Data Analytics, Information Management, Data Analysis Methodologies, Statistical Data Analysis, Performance Indicators, Benchmarks, Collaborative Working Relationships, Negotiation, Persuasion, Presentation Skills, MIS Standards, Discharge Abstract Database (DAD), National Ambulatory Care Reporting System (NACRS), Team Management, Group Management, Cultural Competence, Communication Skills, Interpersonal Skills, Team Integration, CapacityBuilding, Critical Thinking, Analytical ProblemSolving, Multitasking, Prioritization, Leadership, Coaching, Facilitation"
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Onsite,Associate,2024-01-16,2024,1,January,Canada,Analytics,"Business Intelligence, Data Analytics, Data Analysis, Data Representation, Data Mining, Data Science, Data Visualization, SQL, Python, R, Tableau, Statistics, Analytical Skills, Machine Learning, Microsoft SQL Server, Microsoft Power BI, Java, Databases, Data Warehouse, Hypothesis Testing, Business Analysis"
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Scientist,"SQL, Data science, Mathematics, Statistics, Economics, Computer Science, A/B testing, SQL, Data analysis, Data governance, Data consistency, Machine learning, Data engineering, Data tracking, Data integrity, Data security, Product management, Product design, Software engineering, Business leadership, Datadriven decisionmaking, Communication, Problemsolving"
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Onsite,Associate,2024-01-14,2024,1,January,Canada,Analytics,"Supply Chain Data Analytics, Data Management, ConsumerFocused, DataDriven, Operational Insights, Operational Analysis, Operational Performance Improvement, Global Product Flows, Data Governance, Data Extraction, Data Storage, AI/ML Application, Visualization Management, Data Management Technologies, Automation Tools, Governance Approaches, FactBased Analysis, Data Maturity, Data Integrity, Process Adherence, Technical Documentation, Bachelor's Degree, Supply Chain, Industrial Engineering, Statistics, Computer Science, EndtoEnd Understanding, Data Management Strategies, Data Extraction, Data Storage, Visualization Tools, AI/ML Tools, Problem Solving, Analytical Skills, Presentation Skills, Written Communication, Verbal Communication, Leadership Ability, Team Management, Interpersonal Skills, Employee Development Skills, Energetic, Sense of Urgency, Strong Results, Flawless Service, Robust Data Foundation, Exceptional Relationships, Global Engagement, Total Rewards Program, Career Growth, Goose Rewards, ICON Rewards, CG Gives, Physical and Mental Health Support, Inclusion, Diversity, Equity"
Senior Data Engineering Advisor,Oil and Gas Job Search Ltd,"Calgary, Alberta, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Engineer,"SQL, Data governance, Data modeling, Data munging, Data management, Data warehousing, Data lakes, Data integration, Data pipelines, Big data platforms, Cloud technologies, Serverless environments, Python, R, RDBMS, NoSQL, PostgreSQL, MySQL, MongoDB, Microsoft Power BI, Spotfire, Machine learning, Artificial intelligence, Databricks, Data Virtualization, SQL Server, Streamsets, Azure Synapse, Redshift, Azure Data factory, AWS Glue, Alation Data Catalog, Oil and gas operations"
Lead Data Scientist,ClickJobs.io,"Montreal, Quebec, Canada",Onsite,Mid senior,2024-01-15,2024,1,January,Canada,Data Scientist,"Data Science, Machine Learning, AI, Algorithms, Predictive Modeling, Business Challenges, TimeSeries Data, Machine Learning Tools, Community Building, Leadership"
Engineer - Machine Learning Track,"Huawei Technologies Canada Co., Ltd.","Waterloo, Ontario, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Machine Learning Engineer,"Machine Learning, C/C++, Parallel programming, ARM architectures, ARM Neon SIMD programming, Performance optimization, Deep Learning, Machine Learning, Computer Vision, Natural Language Processing, GPU programming, DSP programming, Python, TensorFlow, PyTorch"
Customer Service Representative/Data Analyst/Data Entry Clerk Part Time,Ropesgray,"Campbellton, New Brunswick, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Analyst,"Data Analysis, Advanced Statistical Techniques, Data Visualization, Data Mining, Machine Learning, A/B Testing, Data Manipulation, Data Management, ETL Processes, SQL, R, Python, Tableau, Power BI, Data Modeling, Hypothesis Testing, Software Development, Algorithms, Business Intelligence, Communication, Collaboration, Team Environment, Statistics, New Media"
