job_title,company_name,location,job_category,skill
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Data Analytics
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Statistical techniques
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Strategic decision making
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Marketing
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Fundraising
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,A/B and multivariate testing
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Dashboards
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Reporting
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Key performance indicators (KPIs)
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Data systems integration
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Predictive modeling
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Data Visualization
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Adhoc data analysis
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Donor engagement
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Volunteer engagement
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Community engagement
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Data Science
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Statistics
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Economics
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Data extraction
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Data manipulation
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,SQL
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Power BI
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Communication
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Presentation
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Teamwork
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Project management
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Selfmotivation
Business Analytics Specialist,Islamic Relief Canada,"Burlington, Ontario, Canada",Analytics,Initiative
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Data Analysis
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Data Visualization
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Statistical Techniques
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Machine Learning
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Data Mining
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,SQL
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Python
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,R
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Tableau
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Power BI
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Data Modeling
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Data Quality Management
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Data Processing
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,A/B Testing
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Statistical Modeling
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Hypothesis Testing
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Data Management
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,ETL Processes
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,Business Intelligence
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",Data Analyst,DataDriven Decision Making
Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",Data Analyst,Data Analysis
Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",Data Analyst,Statistics
Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",Data Analyst,Machine Learning
Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",Data Analyst,Algorithms
Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",Data Analyst,A/B Testing
Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",Data Analyst,Data Visualization
Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",Data Analyst,SQL
Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",Data Analyst,R
Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",Data Analyst,Python
Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",Data Analyst,Tableau
Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",Data Analyst,Power BI
Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",Data Analyst,Data Management
Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,"Pictou, Nova Scotia, Canada",Data Analyst,ETL
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Health Information Management
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Informatics
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Industrial Engineering
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Business Administration
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Data Analytics
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Information Management
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Data Analysis Methodologies
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Statistical Data Analysis
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Performance Indicators
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Benchmarks
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Collaborative Working Relationships
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Negotiation
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Persuasion
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Presentation Skills
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,MIS Standards
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Discharge Abstract Database (DAD)
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,National Ambulatory Care Reporting System (NACRS)
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Team Management
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Group Management
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Cultural Competence
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Communication Skills
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Interpersonal Skills
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Team Integration
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,CapacityBuilding
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Critical Thinking
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Analytical ProblemSolving
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Multitasking
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Prioritization
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Leadership
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Coaching
"Manager, Health Information Services & Performance Analytics",IWK Health,"Halifax, Nova Scotia, Canada",Analytics,Facilitation
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Business Intelligence
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Data Analytics
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Data Analysis
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Data Representation
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Data Mining
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Data Science
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Data Visualization
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,SQL
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Python
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,R
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Tableau
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Statistics
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Analytical Skills
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Machine Learning
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Microsoft SQL Server
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Microsoft Power BI
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Java
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Databases
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Data Warehouse
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Hypothesis Testing
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Toronto, Ontario, Canada",Analytics,Business Analysis
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,SQL
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Data Science
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Mathematics
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Statistics
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Economics
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Computer Science
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,A/B Testing
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Data Analysis
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Data governance
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Data consistency
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Machine Learning
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Data Engineering
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Data tracking
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Data integrity
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Data security
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Product management
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Product design
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Software engineering
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Business leadership
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Datadriven decisionmaking
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Communication
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",Data Scientist,Problemsolving
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Supply Chain Data Analytics
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Data Management
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,ConsumerFocused
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,DataDriven
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Operational Insights
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Operational Analysis
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Operational Performance Improvement
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Global Product Flows
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Data Governance
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Data Extraction
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Data Storage
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,AI/ML Application
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Visualization Management
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Data Management Technologies
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Automation Tools
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Governance Approaches
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,FactBased Analysis
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Data Maturity
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Data Integrity
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Process Adherence
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Technical Documentation
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Bachelor's Degree
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Supply Chain
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Industrial Engineering
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Statistics
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Computer Science
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,EndtoEnd Understanding
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Data Management Strategies
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Visualization Tools
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,AI/ML Tools
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Problem Solving
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Analytical Skills
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Presentation Skills
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Written Communication
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Verbal Communication
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Leadership Ability
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Team Management
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Interpersonal Skills
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Employee Development Skills
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Energetic
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Sense of Urgency
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Strong Results
Manager of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",Analytics,Flawless Service
