work_year,experience_level,employment_type,job_title,salary_in_usd,company_size,work_type,country,job_category
2025,Senior Level,Full Time,Data Scientist,145400,Medium,Onsite,United States,Data Scientist
2025,Senior Level,Full Time,Data Scientist,81600,Medium,Onsite,United States,Data Scientist
2025,Senior Level,Full Time,AI Engineer,97900,Medium,Remote,United States,AI Engineer
2025,Senior Level,Full Time,AI Engineer,89900,Medium,Remote,United States,AI Engineer
2025,Senior Level,Full Time,Business Intelligence Engineer,180500,Medium,Onsite,United States,BI Analyst
2025,Senior Level,Full Time,Business Intelligence Engineer,113000,Medium,Onsite,United States,BI Analyst
2025,Mid Level,Full Time,AI Engineer,200000,Medium,Onsite,United States,AI Engineer
2025,Mid Level,Full Time,AI Engineer,145000,Medium,Onsite,United States,AI Engineer
2025,Mid Level,Full Time,AI Engineer,265000,Medium,Remote,United States,AI Engineer
2025,Mid Level,Full Time,AI Engineer,175000,Medium,Remote,United States,AI Engineer
2025,Senior Level,Full Time,Data Engineer,200000,Medium,Remote,United States,Data Engineer
2025,Senior Level,Full Time,Data Engineer,106200,Medium,Remote,United States,Data Engineer
2025,Senior Level,Full Time,Data Engineer,195300,Medium,Onsite,United States,Data Engineer
2025,Senior Level,Full Time,Data Engineer,149000,Medium,Onsite,United States,Data Engineer
2025,Mid Level,Full Time,Data Engineer,183300,Medium,Remote,United States,Data Engineer
2025,Mid Level,Full Time,Data Engineer,117000,Medium,Remote,United States,Data Engineer
2025,Senior Level,Full Time,Data Engineer,213850,Medium,Remote,United States,Data Engineer
2025,Senior Level,Full Time,Data Engineer,136800,Medium,Remote,United States,Data Engineer
2025,Senior Level,Full Time,Data Engineer,146550,Medium,Onsite,United States,Data Engineer
2025,Senior Level,Full Time,Data Engineer,101200,Medium,Onsite,United States,Data Engineer
2025,Senior Level,Full Time,Data Engineer,200700,Medium,Onsite,United States,Data Engineer
2025,Senior Level,Full Time,Data Engineer,175800,Medium,Onsite,United States,Data Engineer
2025,Executive Level,Full Time,Data Engineer,275000,Medium,Onsite,United States,Data Engineer
2025,Executive Level,Full Time,Data Engineer,195000,Medium,Onsite,United States,Data Engineer
2025,Senior Level,Full Time,Data Engineer,155000,Medium,Remote,United States,Data Engineer
2025,Senior Level,Full Time,Data Engineer,93000,Medium,Remote,United States,Data Engineer
2025,Senior Level,Full Time,Machine Learning Engineer,223000,Medium,Onsite,United States,Machine Learning Engineer
